m_id,layer original operation,macc
0,input (),
19,input_QuantizeLinear_Output (QuantizeLinear),180000
26,input_DequantizeLinear_Output (DequantizeLinear),180000
27,_features_features..u_output_0 (Conv),174240016
28,_features_features..ear_Output (QuantizeLinear),2880000
29,_features_features..ear_Output (DequantizeLinear),2880000
30,_features_features..u_output_0 (Conv),576000016
31,_features_features..ear_Output (QuantizeLinear),2880000
32,_features_features..ear_Output (DequantizeLinear),2880000
33,_features_features..l_output_0 (MaxPool),1440000
34,_features_features..ear_Output (QuantizeLinear),720000
35,_features_features..ear_Output (DequantizeLinear),720000
36,_features_features..u_output_0 (Conv),144000016
37,_features_features..ear_Output (QuantizeLinear),720000
38,_features_features..ear_Output (DequantizeLinear),720000
39,_features_features..u_output_0 (Conv),144000016
40,_features_features..ear_Output (QuantizeLinear),720000
41,_features_features..ear_Output (DequantizeLinear),720000
42,_features_features..l_output_0 (MaxPool),360000
43,_features_features..ear_Output (QuantizeLinear),180000
44,_features_features..ear_Output (DequantizeLinear),180000
45,_features_features..u_output_0 (Conv),72000032
46,_features_features..ear_Output (QuantizeLinear),360000
47,_features_features..ear_Output (DequantizeLinear),360000
48,_features_features..u_output_0 (Conv),144000032
49,_features_features..ear_Output (QuantizeLinear),360000
50,_features_features..ear_Output (DequantizeLinear),360000
51,_features_features..e_output_0 (Resize),
52,_features_features..ear_Output (QuantizeLinear),1440000
53,_features_features..ear_Output (DequantizeLinear),1440000
54,_features_features..u_output_0 (Conv),103680016
55,_features_features..ear_Output (QuantizeLinear),720000
56,_features_features..ear_Output (DequantizeLinear),720000
57,_features_features..e_output_0 (Resize),
58,_features_features..ear_Output (QuantizeLinear),2880000
59,_features_features..ear_Output (DequantizeLinear),2880000
60,_features_features..u_output_0 (Conv),207360016
61,_features_features..ear_Output (QuantizeLinear),2880000
62,_features_features..ear_Output (DequantizeLinear),2880000
63,node_56_QuantizeLinear_Input (Conv),1440001
64,node_55_QuantizeLinear_Input (Conv),1440001
65,node_54_QuantizeLinear_Input (Conv),1440001
66,output_QuantizeLinear_Input (Conv),1440001
67,node_56_QuantizeLinear_Output (QuantizeLinear),180000
68,node_55_QuantizeLinear_Output (QuantizeLinear),180000
69,node_54_QuantizeLinear_Output (QuantizeLinear),180000
70,output_QuantizeLinear_Output (QuantizeLinear),180000
71,node_56 (DequantizeLinear),180000
72,node_55 (DequantizeLinear),180000
73,node_54 (DequantizeLinear),180000
74,output (DequantizeLinear),180000
